legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
2104,http://infoscience.epfl.ch/curator/export/2104/,https://infoscience.epfl.ch/search?p=jarne&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=jarne,3,PEOPLE
5225,http://infoscience.epfl.ch/curator/export/5225/,https://infoscience.epfl.ch/search?p=jarne&c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=jarne,0,PEOPLE
8463,http://infoscience.epfl.ch/curator/export/8463/?ln=en,https://infoscience.epfl.ch/search?p=Jazaeri&f1=author&so=d&rg=100,https://infoscience.epfl.ch/search?f1=author&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Jazaeri,3,PEOPLE
4767,http://infoscience.epfl.ch/curator/export/4767/,https://infoscience.epfl.ch/search?bskid=3374&of=xm,,n/a,PEOPLE
11809,https://infoscience.epfl.ch/curator/export/11809/?ln=en,https://infoscience.epfl.ch/search?p=brugger&f1=author&so=d&rg=200,https://infoscience.epfl.ch/search?f1=author&so=d&rg=200&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=brugger,2,PEOPLE
1662,http://infoscience.epfl.ch/curator/export/1662/,https://infoscience.epfl.ch/search?p=Chenal&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Chenal,4,PEOPLE
4954,http://infoscience.epfl.ch/curator/export/4954/,https://infoscience.epfl.ch/search?p=Chenal&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Chenal,4,PEOPLE
12555,https://infoscience.epfl.ch/curator/export/12555/?ln=fr,https://infoscience.epfl.ch/search?p=jerome+chenal&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=jerome+chenal,4,PEOPLE
1664,http://infoscience.epfl.ch/curator/export/1664/,https://infoscience.epfl.ch/search?p=author%3Acugnoni&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Acugnoni,0,PEOPLE
1664,http://infoscience.epfl.ch/curator/export/1664/,https://infoscience.epfl.ch/search?p=author%3Acugnoni&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Acugnoni,0,PEOPLE
5010,http://infoscience.epfl.ch/curator/export/5010/,https://infoscience.epfl.ch/search?p=author%3Acugnoni&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Acugnoni,0,PEOPLE
5010,http://infoscience.epfl.ch/curator/export/5010/,https://infoscience.epfl.ch/search?p=author%3Acugnoni&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Acugnoni,0,PEOPLE
7012,http://infoscience.epfl.ch/curator/export/7012/?ln=en,https://infoscience.epfl.ch/search?p=julien+eberle&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=julien+eberle,0,PEOPLE
13015,https://infoscience.epfl.ch/curator/export/13015/?ln=en,https://infoscience.epfl.ch/search?p=jelescu&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=jelescu,0,PEOPLE
8654,http://infoscience.epfl.ch/curator/export/8654/?ln=en,https://infoscience.epfl.ch/search?bskid=2986&of=xm,,n/a,PEOPLE
